model,model_display,panel_order,k,budget,budget_order,final_sufficiency,highlight_path
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,9x1,10,0.4325,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,10x1,11,0.4275,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,2,No budget,12,0.575,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,1x4,0,0.0975,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,2x1,1,0.0125,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,2x2,2,0.1,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,3x1,3,0.0675,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,3x2,4,0.22,3x2 → 6x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,4x1,5,0.145,1x4 → 2x2 → 4x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,5x1,6,0.225,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,6x1,7,0.3125,3x2 → 6x1
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,7x1,8,0.3125,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,8x1,9,0.3225,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,9x1,10,0.3575,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,10x1,11,0.3625,
openai_gpt-oss-20B_medium,gpt-oss-20B-med,3,3,No budget,12,0.505,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,1x4,0,0.51,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,2x1,1,0.5,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,2x2,2,0.6125,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,3x1,3,0.6125,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,3x2,4,0.705,3x2 → 6x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,4x1,5,0.7375,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,5x1,6,0.7125,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,6x1,7,0.755,3x2 → 6x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,7x1,8,0.7975,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,8x1,9,0.7975,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,9x1,10,0.8175,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,10x1,11,0.8125,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,1,No budget,12,0.9125,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,1x4,0,0.1925,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,2x1,1,0.0825,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,2x2,2,0.2875,1x4 → 2x2 → 4x1
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,3x1,3,0.2425,
openai_gpt-oss-120B_medium,gpt-oss-120B-med,4,2,3x2,4,0.4375,3x2 → 6x1
